_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid,Latitude,Longitude
11,Wangaratta,Kmart Wangaratta,Corner Ryley Street and Greta Road,VIC,3677,19/09/2021,19/09/2021,12:00pm - 12:40pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,22/09/2021,22/09/2021,14:44:27,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,12:40:00,D7W9,-36.3592832,146.3155744
12,Mansfield,Mansfield Coffee Merchant,23 Highett Street,VIC,3722,18/09/2021,18/09/2021,8:00am - 9:00am,Case attended venue. Staff and dine-in patrons - Tier 1. Patrons purchasing take away - Tier 2.,22/09/2021,22/09/2021,11:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,8:00:00,9:00:00,A7D9,-37.0512487,146.0878415
13,Mansfield,FoodWorks Mansfield,119 High Street,VIC,3722,18/09/2021,18/09/2021,3:40pm - 4:20pm,Case attended venue,22/09/2021,22/09/2021,11:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:40:00,16:20:00,D4R3,-37.0516131,146.0869015
14,Mansfield,BP Mansfield,145 Mount Buller Road,VIC,3722,19/09/2021,19/09/2021,10:14am - 11:00am,Case attended venue,22/09/2021,22/09/2021,11:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:14:00,11:00:00,E2C4,-37.0605897,146.0983105
15,Mansfield,George and Al Roy Cafe,69 High Street,VIC,3722,19/09/2021,19/09/2021,1:00pm - 1:30pm,Case attended venue,22/09/2021,22/09/2021,11:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:00:00,13:30:00,E7H9,-37.0519508,146.0894872
16,Wangaratta,Appin Street Fish and Chips Wangaratta,69 Applin Street,VIC,3677,19/09/2021,19/09/2021,7:10pm - 8:30pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",19:10:00,20:30:00,A4G8,-36.3536667,146.298432
17,Hamilton,Pedrina Park Pavilion Construction site,349 North Boundary Road,VIC,3300,15/09/2021,15/09/2021,7:30am - 4:00pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,7:30:00,16:00:00,A7E7,-37.7264485,142.0283126
18,Hamilton,Pedrina Park Pavilion Construction site,349 North Boundary Road,VIC,3300,16/09/2021,16/09/2021,7:30am - 4:00pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,7:30:00,16:00:00,C8F6,-37.7264485,142.0283126
19,Wangaratta,Coles Wangaratta,Ryley Street,VIC,3677,19/09/2021,19/09/2021,8:00pm - 8:50pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",20:00:00,20:50:00,A7R8,-36.35894305,146.3180199
20,Hamilton,Hamilton Townhouse Motel,27 Shakespeare Street,VIC,3300,14/09/2021,14/09/2021,3:30pm - 11:59pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:30:00,23:59:00,A6N7,-37.7370065,142.0228459
21,Hamilton,Hamilton Townhouse Motel,27 Shakespeare Street,VIC,3300,15/09/2021,15/09/2021,12:00am - 11:59pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,A5B8,-37.7370065,142.0228459
22,Hamilton,Hamilton Townhouse Motel,27 Shakespeare Street,VIC,3300,16/09/2021,16/09/2021,12:00am - 8:30am,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,8:30:00,B4M3,-37.7370065,142.0228459
23,Bacchus Marsh,The Shine Centre,28 Grant Street,VIC,3340,15/09/2021,15/09/2021,2:55pm - 4:20pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:55:00,16:20:00,B6J9,-37.6779768,144.4351141
24,Wangaratta,Target Wangaratta,86/90 Ovens Street,VIC,3677,20/09/2021,20/09/2021,3:20pm - 4:30pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:20:00,16:30:00,E5E5,-36.3527445,146.3269451
25,Wangaratta,Reject Shop Wangaratta,Shop MM1/80 Ovens Street,VIC,3677,20/09/2021,20/09/2021,3:20pm - 4:30pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:20:00,16:30:00,A9G4,-36.3541641,146.3246872
26,Wangaratta,Woolworths Wangaratta,45-49 Ovens Street,VIC,3677,20/09/2021,20/09/2021,4:00pm - 4:50pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:00:00,16:50:00,B4F7,-36.354251,146.3238383
27,Derrimut,Derrimut Primary School,40 Lennon Parkway,VIC,3030,16/09/2021,16/09/2021,8:00am - 4:00pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,8:00:00,16:00:00,C2K8,-37.7895033,144.7631393
28,Preston,Woolworths Northland Shopping Centre,50 Murray Road East,VIC,3072,14/09/2021,14/09/2021,3:00pm - 9:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:00:00,21:00:00,D2L3,-37.7407209,145.0302021
29,Preston,Woolworths Northland Shopping Centre,50 Murray Road East,VIC,3072,15/09/2021,15/09/2021,9:00am - 3:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",9:00:00,15:00:00,A5H6,-37.7407209,145.0302021
30,Preston,Woolworths Northland Shopping Centre,50 Murray Road East,VIC,3072,16/09/2021,16/09/2021,12:30pm - 3:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:30:00,15:00:00,E7P2,-37.7407209,145.0302021
31,Tarneit,Chemist Warehouse - Tarneit Gardens Shopping Centre,"Shop 17-18, 742 Tarneit Road",VIC,3029,16/09/2021,16/09/2021,9:00am - 2:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",9:00:00,14:00:00,C6H3,-37.86395545,144.6664742
32,Darley,Pentland Childcare and Kindergarten,138 Halletts Way,VIC,3340,16/09/2021,16/09/2021,2:00pm - 2:45pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",14:00:00,14:45:00,C9C2,-37.6569173,144.4245988
33,St Albans,Future Medical Imaging Group St Albans,101-103 Main Road,VIC,3021,16/09/2021,16/09/2021,12:07pm - 1:30pm,Case attended venue,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:07:00,13:30:00,A2H4,-37.74413265,144.79918
34,Melbourne,The Alfred Hospital Emergency Department,55 Commercial Road,VIC,3004,17/09/2021,17/09/2021,8:18pm - 9:16pm,Case attended venue. Staff  please refer to Infection Control at the Alfred Hospital for specific advice. Patients  Tier 1,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:18:00,21:16:00,E6N4,-37.8456035,144.982784
35,Berwick,Casey Hospital Emergency Department Waiting Room,62-70 Kangan Drive,VIC,3806,20/09/2021,20/09/2021,5:05pm - 10:43pm,Case attended venue. Staff  please refer to Infection Control at the Casey Hospital for specific advice. Patients  Tier 1,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:05:00,22:43:00,D8B4,-38.0452553,145.345815
36,Dandenong,Dandenong Hospital Emergency Main Waiting Room,135 David Street,VIC,3175,20/09/2021,20/09/2021,1:40pm - 3:10pm,Case attended venue. Staff  please refer to Infection Control at Dandenong Hospital for specific advice. Patients  Tier 1,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:40:00,15:10:00,E4G9,-37.9773371,145.2205757
37,Dandenong,Dandenong Hospital Emergency Clinic Waiting Room,135 David Street,VIC,3175,20/09/2021,20/09/2021,1:00pm - 2:15pm,Case attended venue. Staff  please refer to Infection Control at Dandenong Hospital for specific advice. Patients  Tier 1,21/09/2021,21/09/2021,22:25:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,14:15:00,D4C6,-37.9773371,145.2205757
38,Mickleham,Daniel's Donuts Merrifield,270 Donnybrook Road,VIC,3064,17/09/2021,17/09/2021,12:00pm - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,17:30:00,E6A2,-37.5371777,144.9201027
39,Mickleham,Daniel's Donuts Merrifield,270 Donnybrook Road,VIC,3064,18/09/2021,18/09/2021,5:00pm - 8:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:00:00,20:00:00,E7K5,-37.5371777,144.9201027
40,Wangaratta,Supercheap Auto Wangaratta,14-24 Parfitt Road,VIC,3677,18/09/2021,18/09/2021,4:25pm - 5:15pm,Case attended venue,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:25:00,17:15:00,E9W7,-36.3521885,146.3332119
41,Wangaratta,Officeworks Wangaratta,14/24 Parfitt Road,VIC,3677,18/09/2021,18/09/2021,4:25pm - 5:30pm,Case attended venue,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:25:00,17:30:00,D9R9,-36.3520405,146.333119
42,Wangaratta,Aldi Wangaratta,13/15 Chisholm Street,VIC,3677,18/09/2021,18/09/2021,5:08pm - 5:38pm,Case attended venue,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:08:00,17:38:00,B9M3,-36.3562243,146.3282802
43,Wangaratta,Chicken Time Wangaratta,24 Faithreetfull St,VIC,3677,18/09/2021,18/09/2021,5:20pm - 6:00pm,Case attended venue,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:20:00,18:00:00,D7E2,-36.3536826,146.3286492
44,Wangaratta,Bunnings Wangaratta,95/103 Tone Road,VIC,3677,18/09/2021,18/09/2021,5:30pm - 6:30pm,Case attended venue,21/09/2021,21/09/2021,21:12:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:30:00,18:30:00,E8K4,-36.3655145,146.300309
45,Koo Wee Rup,Westernport Child Care Centre & Kindergarten,344 Rossiter Road,VIC,3981,17/09/2021,17/09/2021,8:15am - 5:20pm,Case attended venue,21/09/2021,21/09/2021,19:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,8:15:00,17:20:00,E8K3,-38.1986324,145.4929961
46,Mill Park,Mill Park Superclinic Pharmacy,250 Childs Road,VIC,3082,17/09/2021,17/09/2021,10:00am - 10:50am,Case attended venue,21/09/2021,21/09/2021,19:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,10:50:00,D9W5,-37.6620448,145.052357
47,Airport West,ALDI Airport West,29-35 Louis Street,VIC,3042,16/09/2021,16/09/2021,7:00am - 4:30pm,Case attended venue,21/09/2021,21/09/2021,19:13:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,16:30:00,B2X3,-37.712873,144.8893862
48,Melbourne,The Alfred Hospital Emergency Department,55 Commercial Road,VIC,3004,17/09/2021,17/09/2021,8:18pm - 9:16pm,Case attended venue,21/09/2021,21/09/2021,19:13:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,20:18:00,21:16:00,D6B6,-37.8456035,144.982784
49,Ballarat,Vic Roads - Ballarat GovHub,101 Armstrong Street North,VIC,3350,13/09/2021,13/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,B6J3,-37.53808025,143.8607099
50,Ballarat,Vic Roads - Ballarat GovHub,101 Armstrong Street North,VIC,3350,14/09/2021,14/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,E7W8,-37.53808025,143.8607099
51,Ballarat,Vic Roads - Ballarat GovHub,101 Armstrong Street North,VIC,3350,15/09/2021,15/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,B8G9,-37.53808025,143.8607099
52,Ballarat,Vic Roads - Ballarat GovHub,101 Armstrong Street North,VIC,3350,16/09/2021,16/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,B6E4,-37.53808025,143.8607099
53,Ballarat,Vic Roads - Ballarat GovHub,101 Armstrong Street North,VIC,3350,17/09/2021,17/09/2021,12:00am - 11:59pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",0:00:00,23:59:00,D8B9,-37.53808025,143.8607099
54,Ballarat,Ballarat GovHub,101 Armstrong Street North,VIC,3350,13/09/2021,13/09/2021,5:01pm - 6:59am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:01:00,6:59:00,D7X9,-37.53808025,143.8607099
55,Ballarat,Ballarat GovHub,101 Armstrong Street North,VIC,3350,14/09/2021,14/09/2021,5:01pm - 6:59am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:01:00,6:59:00,C7X8,-37.53808025,143.8607099
56,Ballarat,Ballarat GovHub,101 Armstrong Street North,VIC,3350,15/09/2021,15/09/2021,5:01pm - 6:59am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:01:00,6:59:00,D4P3,-37.53808025,143.8607099
57,Ballarat,Ballarat GovHub,101 Armstrong Street North,VIC,3350,16/09/2021,16/09/2021,5:01pm - 6:59am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:01:00,6:59:00,E6Q7,-37.53808025,143.8607099
58,Ballarat,Ballarat GovHub,101 Armstrong Street North,VIC,3350,17/09/2021,17/09/2021,5:01pm - 6:59am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:01:00,6:59:00,B7P2,-37.53808025,143.8607099
59,St Arnaud,Caltex Service Station St Arnaud,5948 Sunraysia Highway,VIC,3478,12/09/2021,12/09/2021,12:20pm - 1:00pm,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:20:00,13:00:00,C6A7,-36.6315846,143.2632366
60,St Arnaud,Caltex Service Station St Arnaud,5948 Sunraysia Highway,VIC,3478,13/09/2021,13/09/2021,6:00pm - 6:40pm,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:00:00,18:40:00,B2X2,-36.6315846,143.2632366
61,Corio,Chemist Warehouse Corio,7/470-490 Princes Highway,VIC,3214,10/09/2021,10/09/2021,10:49am - 11:30am,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:49:00,11:30:00,C4A6,-38.0640236,144.3832548
62,Geelong,Country Road Geelong Westfield,Shop 153 4/144-145 Malop Street,VIC,3220,10/09/2021,10/09/2021,4:25pm - 5:00pm,Case attended venue,21/09/2021,21/09/2021,16:33:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:25:00,17:00:00,C8S3,-38.14976365,144.3694274
